title,title_lower,salary,company,company_lower,rating,job_location,job_location_clean
Entry Level Software Engineer,entry level software engineer,Estimated $60.6K - $76.7K a year,Amentum,amentum,3.8,"Remote in Dahlgren, VA",remote
Direct Mail Data Processing Programmer - Commercial Print / Direct Mail,direct mail data processing programmer - commercial print / direct mail,Estimated $51.2K - $64.8K a year,Phoenix Lithographing Corporation,phoenix lithographing corporation,3.4,"Philadelphia, PA 19154 
(Northeast Airport area)","Philadelphia, PA"
SQL Programmer,sql programmer,NaN,Xactly Corporation,xactly corporation,3.7,"Remote in Los Gatos, CA 95030",remote
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Software Developer (All Levels),software developer (all levels),NaN,Noblis,noblis,4,"Bridgeport, WV 26330
+9 locations","Bridgeport, WV"
Junior Software Developer,junior software developer,NaN,Binary Logic IT,binary logic it,NaN,"Miamisburg, OH 45458
+1 location","Miamisburg, OH"
Software Engineer,software engineer,NaN,rockset,rockset,NaN,"San Mateo, CA
+2 locations","San Mateo, CA"
Software Engineer Full time - Puerto Rico,software engineer full time - puerto rico,Estimated $89.6K - $114K a year,Honeywell,honeywell,3.7,"Puerto Rico
+11 locations","Puerto Rico
+11 locations"
Software Engineer,software engineer,NaN,Links Technology,links technology,4.9,"Baltimore, MD 21218 
(Charles North area)
+1 location","Baltimore, MD"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
"Director, Software Engineering - Rewards
new","director, software engineering - rewards
new",NaN,Capital One,capital one,3.9,"Atlanta, GA 30361 
(Midtown area)
+42 locations","Atlanta, GA"
"Mobile Engineer
new","mobile engineer
new",Estimated $69.1K - $87.5K a year,Manpower Engineering,manpower engineering,3.8,"Atlanta, GA
+1 location","Atlanta, GA"
Senior Software Developer,senior software developer,Estimated $88.9K - $113K a year,American Heritage Credit Union,american heritage credit union,3.6,"Philadelphia, PA 19115 
(Bustleton area)","Philadelphia, PA"
"Engineering Manager, Web Development
new","engineering manager, web development
new",NaN,Codazen,codazen,3.7,"Hybrid remote in Salt Lake City, UT
+1 location","Hybrid remote in Salt Lake City, UT
+1 location"
Business Intelligence Developer - REMOTE,business intelligence developer - remote,Estimated $91.2K - $115K a year,"Data Systems Analysts, Inc.","data systems analysts, inc.",3.7,"Aberdeen, MD 21001","Aberdeen, MD"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Firmware Engineer,firmware engineer,NaN,Aquatic AV,aquatic av,4,"San Jose, CA 95112 
(Downtown area)","San Jose, CA"
"Software Test Engineer
new","software test engineer
new",NaN,DISH Network,dish network,3.2,"Englewood, CO 80113
+5 locations","Englewood, CO"
Junior Software Developer,junior software developer,Estimated $59.1K - $74.8K a year,Kreative Technologies,kreative technologies,4,Remote,remote
Software Engineer - Remote,software engineer - remote,NaN,Mayo Clinic,mayo clinic,3.9,"Remote in Rochester, MN 55901
+1 location",remote
Software Developers (All Levels),software developers (all levels),Estimated $83.7K - $106K a year,VividCloud,vividcloud,4.6,"Hampton, NH
+3 locations","Hampton, NH"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Software Engineer - Full Stack,software engineer - full stack,NaN,PayPal,paypal,3.9,"Remote in California
+2 locations",remote
Autonomy Software Engineer - Flight Core,autonomy software engineer - flight core,NaN,Skydio,skydio,4,"San Mateo, CA","San Mateo, CA"
Software Developers (Jr. Level),software developers (jr. level),Estimated $90.7K - $115K a year,24X7SYSTEMS,24x7systems,NaN,"Alpharetta, GA 30004","Alpharetta, GA"
Jr. Software Engineer,jr. software engineer,Estimated $92.1K - $117K a year,DaqScribe Solutions,daqscribe solutions,NaN,"Centennial, CO","Centennial, CO"
Software Engineer (BS),software engineer (bs),NaN,Whova,whova,NaN,"San Diego, CA 92126 
(Miramar area)
+1 location","San Diego, CA"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
"Automation Engineer - DN1
new","automation engineer - dn1
new",NaN,Engineering Resource Group,engineering resource group,4.7,"Elizabeth, NJ 07206","Elizabeth, NJ"
Microgrid Control & Automation Engineer,microgrid control & automation engineer,NaN,Leidos,leidos,3.7,Remote in Virginia,remote
Manufacturing Automation Engineer,manufacturing automation engineer,Estimated $80.1K - $101K a year,Freudenberg-NOK General Partnership,freudenberg-nok general partnership,3.6,"Hybrid remote in Manchester, NH 03103
+1 location","Hybrid remote in Manchester, NH 03103
+1 location"
Linux/JAVA/Microservices - Software Engineer Sr - FOR LOCATIONS LISTED,linux/java/microservices - software engineer sr - for locations listed,NaN,PNC Financial Services Group,pnc financial services group,3.5,"Strongsville, OH
+1 location","Strongsville, OH"
Software Engineer,software engineer,NaN,Credit Acceptance,credit acceptance,3.4,"+3 locations
Remote",remote
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
